unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_10c9ae639d6520,FPAN,fpan,act_a8385e03c29f06,,,social media influencer engagement for townhall event,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,29.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,xwalk_b67a3e3a71f19d,FPAN,fpan,act_68c6a5cedf4cb7,,,review and documentation,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,12.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_f028b12ddfaf7d,FPAN,,Review and Documentation,,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,12.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_bba1e0ec1ace86,FPAN,fpan,act_9388ba91fb5de6,,,capacity building for coalition members on evidence generation on cse manuscript writing publication of research articles case studies and impact story collection and cse tool kit development,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,30.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,xwalk_889b0394b0d4c1,FPAN,fpan,act_54a987e6fa60f9,,,support establish and strengthen inclusive and tech enabled cse corners at the cehrd moest,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,13.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_4ab72fde6a5f35,FPAN,,"Support establish and strengthen inclusive and tech-enabled CSE corners at the CEHRD, MoEST",,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,13.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_679e1e4be1be18,FPAN,fpan,act_6509516aa33761,,,special days celebration like international youth day 16 days of activism against gender based violence gbv safe abortion day menstrual hygiene day,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,31.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,xwalk_7d93b014713bd1,FPAN,fpan,act_df34d37bf4737e,,,training of trainers mtot on the updated cse curriculum and textbooks to support petc in developing a pool of roster trainers,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,14.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_2d0b076d9a72a7,FPAN,,Training of Trainers (MToT) on the updated CSE curriculum and textbooks to support PETC in developing a pool of roster trainers,,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,14.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_2e6c0681ffdf99,FPAN,fpan,act_56ae8fa96aeb18,,,development of cse tool kit and booklet of impact stories compilation,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,32.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,xwalk_177c88e4f545df,FPAN,fpan,act_162dc0b7b42ad7,,,conduct a post cse training assessment use of kobo tool for cse trained teachers to identify competency needs and gaps for cse delivery twice a year,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,15.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_bcc783d477f21b,FPAN,,Conduct a Post-CSE Training Assessment (Use of KOBO tool) for CSE-Trained Teachers to identify competency needs and gaps for CSE delivery (Twice a year),,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,15.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_1519026f35c0ff,FPAN,fpan,act_41b94fb5eb5a65,,,conduct csetwg meetings at federal and provincial levels and strengthen coordination and partnership among allied stakeholders for integration of cse into policies plan guidelines and curriculum,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,16.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_1cad090eb2ef8c,FPAN,,"Conduct CSETWG meetings at federal and Provincial levels and strengthen coordination and partnership among allied stakeholders for integration of CSE into policies, plan, guidelines and curriculum.",,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,16.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_4d0196b9fc994f,FPAN,fpan,act_76a153c6642b5e,,,co ordiantion meeting with partners ho branch office and stakeholders,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,17.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_303cf4f72f309a,FPAN,,"Co-ordiantion Meeting with Partners ( HO, Branch office and stakeholders)",,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,17.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_fbad431b7c1209,FPAN,fpan,act_aa5602d0143e21,,,strengthen and expand the national cse advocacy coalition and advance evidence based cse advocacy and digital campaigning to promote adolescent and youth rights awareness and public support for comprehensive sexuality education,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,18.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_33deafa070507c,FPAN,,"Strengthen and expand the National CSE Advocacy Coalition and advance evidence-based CSE advocacy and digital campaigning to promote adolescent and youth rights, awareness, and public support for comprehensive sexuality education.",,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,18.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_802805d8e6b1b5,FPAN,fpan,act_ece9463daf5b2c,,,sub activity conduct an intergenerational dialogue engaging parents teachers school management committee smc members parent teacher association pta representatives head teachers school health nurses community leaders and students to strengthen shared understanding and support for the importance of cse in promoting the health and well being of young people,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,19.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_71ffb721398c8a,FPAN,,"Sub-activity: Conduct an intergenerational dialogue engaging parents, teachers, School Management Committee (SMC) members, Parent–Teacher Association (PTA) representatives, head teachers, school health nurses, community leaders, and students to strengthen shared understanding and support for the importance of CSE in promoting the health and well-being of young people.",,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,19.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_1250193f6a9fdf,FPAN,fpan,act_f3ea8bcdb4d242,,,round table discussion on integrated and inclusive comprehensive sexuality education for people with disabilities,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,20.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_7e626b7106ba07,FPAN,,Round table discussion on integrated and inclusive Comprehensive Sexuality Education for People with Disabilities.,,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,20.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_4daf3f1e9aff72,FPAN,fpan,act_e901f5a1f2fb2b,,,art for cse theatre based technique performance,,,,,,,,2026.0,,,unknown,fpanprogramindicator.xlsx,cse_activitylist,21.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_07cbe3c5105447,FPAN,,ART for CSE: Theatre Based Technique Performance,,,unknown,unknown,unknown,unknown,fpanprogramindicator.xlsx,cse_activitylist,21.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
