unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,nrcs_crosswalk_id,nrcs_ip_name,nrcs_normalized_ip_name,nrcs_activity_registry_id,nrcs_indicator_registry_id,nrcs_activity_code,nrcs_normalized_activity_name,nrcs_indicator_code,nrcs_normalized_indicator_name,nrcs_output,nrcs_outcome,nrcs_cpd_indicator,nrcs_sp_indicator,nrcs_unsdcf_indicator,nrcs_reporting_year,nrcs_reporting_quarter,nrcs_target_registry_id,nrcs_evidence_required,nrcs_source_document,nrcs_source_sheet,nrcs_source_row,nrcs_mapping_method,nrcs_mapping_confidence,nrcs_mapping_status,nrcs_validation_status,nrcs_gap_reason,nrcs_me_review_status,nrcs_me_corrected_value,nrcs_me_comments,nrcs_approved_by,nrcs_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_efd977cfcb6a87,PeaceWin,peacewin,act_292494950553e0,ind_8542fb7dca4c1c,CDEU13231,sub activity 1 3 2 2 mobilisation of early adopters and champions for community awareness raising intensive as well as light palikas cascading activities,,indicator registry not available in source workbook,"Output 1.3 – Women and girls have increased capacity to advocate for gender equality and the rights of women and girls, hold duty bearers accountable for action on GEWE, and challenge discriminatory social and gender norms both individually and collectively","Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,12.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_10ab58a5a889a7,PeaceWin,peacewin,act_984aa9e24bae27,ind_8542fb7dca4c1c,CDEU13232,sub activity 1 3 2 3 early adopters change agents consultation and policy dialogue meeting at badimaika belauri and dipayal shilgadhi municiplaity 3 palika two times,,indicator registry not available in source workbook,"Output 1.3 – Women and girls have increased capacity to advocate for gender equality and the rights of women and girls, hold duty bearers accountable for action on GEWE, and challenge discriminatory social and gender norms both individually and collectively","Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,13.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_fcfc889de6e3cc,PeaceWin,peacewin,act_5eb293aec877c6,ind_8542fb7dca4c1c,CDEU1324,sub activity 1 3 2 4 three days gender transformative approach training to the adolescents and youth identified as the early adopters change agents including the opinion makers 25 from each 3 palika belauri badimalika and dipayal shilgadhi total 75 persion,,indicator registry not available in source workbook,"Output 1.3 – Women and girls have increased capacity to advocate for gender equality and the rights of women and girls, hold duty bearers accountable for action on GEWE, and challenge discriminatory social and gender norms both individually and collectively","Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,14.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_3ce48e3a92fd80,PeaceWin,peacewin,act_179ce52f2ddd21,ind_8542fb7dca4c1c,CDEU2121,sub activity 2 1 2 1 three days gender non residential training on transformative approach and survivor centric business development support for the escs fncci fwean representative of ministry of labour and industry and local representatives of selected municipalities to deliver employment services sudurpashchim 17 participants non focused lgs 8,,indicator registry not available in source workbook,Output 1.2 – Families and communities have increased capacity to enhance the economic role of women and nurture equitable and non-discriminatory relationships,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,15.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_342778f82aa12a,PeaceWin,peacewin,act_a3a09149c6fe92,ind_8542fb7dca4c1c,ADVOEU3115,sub activity 3 1 1 1 mobilisation and operationalisation of provincial and local level gbv network 30 in each palikas half yearly meeting aligning with annual plan and mid year review,,indicator registry not available in source workbook,Output 1 - National Women’s Machinery has the improved capacity to advance GEWE in line with international/ national normative frameworks,"Outcome 3 - Institutions deliver gender equality outcomes in all spheres, in line with international and national normative frameworks",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,16.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_8ec41f27a6665b,PeaceWin,peacewin,act_835e53d103bd04,ind_8542fb7dca4c1c,ADVOEU3112,two days review meting with provincial level gbv prevention and response network members on gender transformative approach in aligning with icpd cedaw sustainable development goals and national frameworks on gbv and srhr,,indicator registry not available in source workbook,Output 1 - National Women’s Machinery has the improved capacity to advance GEWE in line with international/ national normative frameworks,"Outcome 3 - Institutions deliver gender equality outcomes in all spheres, in line with international and national normative frameworks",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,17.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_26b4f7d03952ea,PeaceWin,peacewin,act_f274d5e44b35a3,ind_8542fb7dca4c1c,ADVOEU3241,sub activity 3 2 4 1 international day celebration,,indicator registry not available in source workbook,Output 1 - National Women’s Machinery has the improved capacity to advance GEWE in line with international/ national normative frameworks,"Outcome 3 - Institutions deliver gender equality outcomes in all spheres, in line with international and national normative frameworks",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,18.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_99db4bf1cb21c7,PeaceWin,peacewin,act_a8f4325b385235,ind_8542fb7dca4c1c,ADVOEU3311,sub activity 3 3 3 1 mobilisation of cbos on gender transformative approaches regular meetings with selected cbos and support in implementing action plan and linking them to lgs 15 in each palikas,,indicator registry not available in source workbook,Output 1.2 – Families and communities have increased capacity to enhance the economic role of women and nurture equitable and non-discriminatory relationships,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,20.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_75792e40f0299e,PeaceWin,peacewin,act_7960bfa48ac259,ind_8542fb7dca4c1c,MONITOREU1,activity 3 1 5 joint monitoring government project staff and executive committee members including trainers and officials from the phd phtc petc and sprta,,indicator registry not available in source workbook,Monitoring & Evaluation,Monitoring & Evaluation,,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,21.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_9aa841fbfe3683,PeaceWin,peacewin,act_83ed6ce7e41527,ind_8542fb7dca4c1c,MONITOREU2,activity 3 1 6 review and reflection workshop on a bi annual basis two days participants and learning sharing meeting with punos and ips,,indicator registry not available in source workbook,Monitoring & Evaluation,Monitoring & Evaluation,,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,22.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
