unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_52ba7bb7ce6c21,SPN,spn,act_9ba733c6817dfc,ind_cd808f3c19861a,7_2_1,subact 7 2 meeting at federal province and local level,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,19.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_8bd0ce1bdb215a,SPN,7_2_1,"Subact 7.2: Meeting at Federal, Province and Local level",Number of surveilence,"Number of surveilence and meeting conducted at Federal, Province and local level to control counterfiet MA Drugs",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,19.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_30e6e92a2e88b6,SPN,spn,act_9ba733c6817dfc,ind_cd808f3c19861a,7_2_1,subact 7 2 meeting at federal province and local level,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,19.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_72f78e5943f1a4,SPN,7_2_1,"Subact 7.2: Meeting at Federal, Province and Local level",Number of surveilence,"Number of surveilence and meeting conducted at Federal, Province and local level to control counterfiet MA Drugs",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,19.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_98bf353a36248d,SPN,spn,act_e09016e1cbceeb,ind_cd808f3c19861a,7_3_1,subact 7 3 sensitization program for pharmacists,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,source_activity_indicator_field,0.98,matched_direct,pending_user_validation,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_6ba2825e3a3d3b,SPN,7_3_1,Subact 7.3: Sensitization program for Pharmacists,Number of surveilence,"Number of surveilence and meeting conducted at Federal, Province and local level to control counterfiet MA Drugs",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_43f54b6f230389,SPN,spn,act_e09016e1cbceeb,ind_cd808f3c19861a,7_3_1,subact 7 3 sensitization program for pharmacists,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_4bda4789adc178,SPN,7_3_1,Subact 7.3: Sensitization program for Pharmacists,Number of surveilence,"Number of surveilence and meeting conducted at Federal, Province and local level to control counterfiet MA Drugs",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_310ee1c0db6ba0,SPN,spn,act_e09016e1cbceeb,ind_cd808f3c19861a,7_3_1,subact 7 3 sensitization program for pharmacists,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_72172e714dea25,SPN,7_3_1,Subact 7.3: Sensitization program for Pharmacists,Number of surveilence,"Number of surveilence and meeting conducted at Federal, Province and local level to control counterfiet MA Drugs",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_f61ade4cfc4691,SPN,spn,act_e09016e1cbceeb,ind_cd808f3c19861a,7_3_1,subact 7 3 sensitization program for pharmacists,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_7e60a2c75a8656,SPN,7_3_1,Subact 7.3: Sensitization program for Pharmacists,Number of surveilence,"Number of surveilence and meeting conducted at Federal, Province and local level to control counterfiet MA Drugs",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,20.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_324c09bf32834b,SPN,spn,act_2bd819185e0a2c,ind_334622cf9110ab,8_1_1,subact 8 1 review and planning meeting for guftagu session,Number of individuals (parents,number of individuals parents traditional and religious leaders and community members engaged in community spaces to challenge harmful practices promote gender equality and sexual and reproductive health,Output 6: Male members from Muslim community are oriented on SRH and Gender Equality,"Outcome 3. By 2029, the reduction in gender-based violence and harmful practices has accelerated",Percent of Health facilities with Supportive supervision visits conducted to support service providers to offer adolescent friendly sexual and reproductive health services,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_a6e655aed67097,SPN,8_1_1,Subact 8.1: Review and Planning Meeting for Guftagu session,Number of individuals (parents,"Number of individuals (parents, traditional and religious leaders, and community members) engaged in community spaces to challenge harmful practices, promote gender equality and sexual and reproductive health",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_ce9525f2d8ff2f,SPN,spn,act_2bd819185e0a2c,ind_334622cf9110ab,8_1_1,subact 8 1 review and planning meeting for guftagu session,Number of individuals (parents,number of individuals parents traditional and religious leaders and community members engaged in community spaces to challenge harmful practices promote gender equality and sexual and reproductive health,Output 6: Male members from Muslim community are oriented on SRH and Gender Equality,"Outcome 3. By 2029, the reduction in gender-based violence and harmful practices has accelerated",Percent of Health facilities with Supportive supervision visits conducted to support service providers to offer adolescent friendly sexual and reproductive health services,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_974f0cb873b800,SPN,8_1_1,Subact 8.1: Review and Planning Meeting for Guftagu session,Number of individuals (parents,"Number of individuals (parents, traditional and religious leaders, and community members) engaged in community spaces to challenge harmful practices, promote gender equality and sexual and reproductive health",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_d4c399fe7d12dc,SPN,spn,act_2bd819185e0a2c,ind_334622cf9110ab,8_1_1,subact 8 1 review and planning meeting for guftagu session,Number of individuals (parents,number of individuals parents traditional and religious leaders and community members engaged in community spaces to challenge harmful practices promote gender equality and sexual and reproductive health,Output 6: Male members from Muslim community are oriented on SRH and Gender Equality,"Outcome 3. By 2029, the reduction in gender-based violence and harmful practices has accelerated",Percent of Health facilities with Supportive supervision visits conducted to support service providers to offer adolescent friendly sexual and reproductive health services,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_07678b12433fc8,SPN,8_1_1,Subact 8.1: Review and Planning Meeting for Guftagu session,Number of individuals (parents,"Number of individuals (parents, traditional and religious leaders, and community members) engaged in community spaces to challenge harmful practices, promote gender equality and sexual and reproductive health",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_51183fe5a3a71a,SPN,spn,act_2bd819185e0a2c,ind_334622cf9110ab,8_1_1,subact 8 1 review and planning meeting for guftagu session,Number of individuals (parents,number of individuals parents traditional and religious leaders and community members engaged in community spaces to challenge harmful practices promote gender equality and sexual and reproductive health,Output 6: Male members from Muslim community are oriented on SRH and Gender Equality,"Outcome 3. By 2029, the reduction in gender-based violence and harmful practices has accelerated",Percent of Health facilities with Supportive supervision visits conducted to support service providers to offer adolescent friendly sexual and reproductive health services,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_3c628aec1c0845,SPN,8_1_1,Subact 8.1: Review and Planning Meeting for Guftagu session,Number of individuals (parents,"Number of individuals (parents, traditional and religious leaders, and community members) engaged in community spaces to challenge harmful practices, promote gender equality and sexual and reproductive health",unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
