unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_efc430b12d8a98,KIDS,kids,act_c35bee997df110,,RHCCMEETING HF,sub activity 4 1 provincial district level rhcc meeting,,,output 3.4 FP/SRH multistakeholder platform in strengthened at the federal and provincial government under the government leadership that will provide strategic and technical guidance interms of rational allocation of resources and cross sectoral collaboration,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,12.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_04042339bf18fd,KIDS,kids,act_294986dc6a4a2a,,SUPPHLMCLP SCM,sub activity 5 1 joint onsite coaching mentoring on fp servives,,,output 1.3 Sustained post training capacity building and skill retential and enhancement through institutionalized coaching and mentoring,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,13.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_620bf0f4f0ca15,KIDS,kids,act_fb16d6e10bb400,,SUPPHLMCLP SCM,sub activity 5 2 functionalize scm twg meeting at provincial level,,,"output 2.3 SCM coordination platform at level of government will be strengthened that will contribute to the development and implementation of commodities flow SoP, temperature control SoP as well as overall SCM issue including ICA, supply plan monitoring and update","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,14.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_06044a78316c9d,KIDS,kids,act_11621a56b6f09f,,SUPPHLMCLP SCM,sub activity 5 3 tot pams v2,,,"Output 2.2 Government successfully replaces the old eLMIS with its own PAMS platform, giving local governments the skills and funds to run and expand the in their health facilities to ensures commodity security.","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,15.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_cca78d74327918,KIDS,kids,act_7d67369462b458,,,sub activity 5 4 pams v2 district level rollout training,,,"Output 2.2 Government successfully replaces the old eLMIS with its own PAMS platform, giving local governments the skills and funds to run and expand the in their health facilities to ensures commodity security.","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,16.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_124571ace0be01,KIDS,kids,act_3bfb56624298bc,,,sub activity 5 5 provide quantification and forecasting training province level on sharing basis with phlmc,,,"Output 2.1 Reproductive health commodities secured through preparation of supply plan, annual procurement plan informed by quantification workshop and officials trained in Procurement","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,17.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_139fc8ea4927a4,KIDS,kids,act_40807f25482b8a,,SUPPHLMCLP,sub activity 5 6 strengthen warehousing and storage practices at district and local levels rolpa kapilvastu and banke,,,,,,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,18.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_2d8501ddeb54b0,KIDS,kids,act_1ca659039e368c,,SUPHDKPLP AA,6 1 technical support to health directorate for scaling up of kpa,,,output 1.4 Documented and scalable investment case demonstrating positive social norms shifts among marginalized communities with high unmet need and high maternal mortality ratio,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,19.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_aaed379bf73bee,KIDS,kids,act_f5200dd0b78b97,,ADVOKRA223,sub activity 7 1 modular 1 health managment training for health managers,,,,,,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,20.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_cad0f6877f2325,KIDS,kids,act_c8b2a91e72d14c,,ADVOKRA223,sub activity 7 2 modular 2 health managment training for health managers,,,,,,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,21.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
